,Unnamed: 0,Name,Identity,Form,Alignment,Type,Size,F,A,S,E,R,I,P,H,K,Res,Pop,Powers,Equipment,Vehicle,Talents,Contacts,Weaknesses,Powers_Form,Spd,Att,Dam,Climbing,Escaping
189,189,Batroc the Leaper,Georges Batroc,,,,,In,In,Ex,Rm,Gd,Gd,Gd,130,30,Gd,,{},"{'Body Armor': 'Ex vs. Physical & Edge ', 'Whip-Cane': 'In material, Am Blunt or Edge ', 'Neural Shock Boots': 'Cause Rm Electrical damage on contact'}",{},"['All Martial Arts, Acrobatics, Bilingual (English, French), Weapons Expert']",['Hydra'],[''],{},0,0,0,0,0
243,243,Black Light,,,,,,Ex,Rm,Ex,Rm,Gd,Ex,Rm,100,60,Mn,,"{'Darkforce Generation': 'Mn ability to open portals into the Darkforce Dimension through his retinas, performing the following power stunts:', '-Force Bolts': 'Mn Force from his eyes, 10 areas', '-Flight': 'Gd'}",{},{},"['All Martial Arts, Shi’ar Technology, Starships, Astro-Navigation']",['Shi’ar Imperial Guard'],[''],{},0,0,0,0,0
336,336,Cable,Nathan Christopher Charles Dayspring Summers,,,,,In,Ex,Ex,Rm,Rm,In,Am,110,120,Ex,,"{'Infonet': 'In, Cable now has a technological link to the ""Infonet,"" which acts as a surrogate for his telepathy. Cable has developed the following power stunts', '-Connection': 'Rm ability to forcefully link other minds to the Infonet', '-Download': ""Cable can download information into a person's mind with Am ability"", 'Gravimetric Sheath': 'Am aura that surrounds Cable, mimicing his telekinesis, which allows him to perform the following power stunts:', '-Telekinesis': 'Mn', '-Repel': 'In ability to repel objects and energy-based attacks away from him, not to him.', '-Force Field': 'In ability to repel objects fired towards him back to the opponent', '-Force Blast': 'In Force', '-Flight': 'Rm', 'Techno-Organic Arm': 'Cable has been fitted with a new Techno-Organic Arm, which gives him the follow power stunts', '-Energy Blade': 'Ex Edge, back of left hand', 'Bionic Eye': 'Infrared, +1cs Ranged'}","{'Guns': 'In Energy, 10 areas ', 'Bodyslide': 'Mn ability to teleport himself and others over great distances.'}",{},"['Handguns, Marksman, Semi-Automatic, Weapons, All Martial Arts, Military, Detective/Espionage, Leadership']","['X-Force, X-Men, Deadpool, Wolverine']",[''],{},0,0,0,0,0
337,337,Cable,Nathan Christopher Charles Dayspring Summers,,,,,In,Ex,Ex,Rm,Rm,In,Am,110,120,Ex,,"{'Telepathy': 'Mn ability read minds and project the thoughts of others. Cable is able to perform the following power stunts:', '-Telepathic Illusion': 'Am ability to create realistic telepathic illusions and cause people to experience events which are not actually occurring.', '-Telepathic Cloak': 'Am ability to mask his presence from being detected by others. Can extend these defenses to others around him as well.', '-Mind Link': 'Am ability to develop a mental link with any person, which remains as a connection to that individual.', '-Telepathic Camouflage': ""Am ability to mask himself and other people's presence from those around him. Can telepathically disguise himself, making his appearance to those around his quite different (changing the appearance of clothing, as well as more involved disguising)."", '-Mind Control': 'Am ability to control the minds and even voluntary and involuntary bodily functions of sentient beings (such as other humans).', '-Mind Trap': ""Am ability to take another person's mind from their body and effectively trapping that mind within his own."", '-Mind Possession': 'Am ability to possess the mind of another, and use that beings body as your own.', '-Mind Alteration': 'In ability to alter the minds of others by force of will.', '-Mental Amnesia': 'Am ability to cause loss of particular memories and amnesia in another person or even in a group of people.', '-Precognition': 'Mn ability to foresee events before they have even come to pass.', '-Psionic Shield': 'Mn protection vs. Psionics for himself and others minds. ', '-Psionic Blasts': 'Am', '-Astral Projection': 'Mn ability to astral travel and communicate with others through his own will or through contact with the thoughts and memories of others. In the Astral Plane, he can use his powers to create ""ectoplasmic"" objects. Cable has a mastery of astral projection, and is able to remain on his own plane of existence or to traverse into any of the so-called ""Astral Planes"".', '-Mental Detection': 'Am ability to sense the presence of another superhuman mutant within a large, but as yet undefined radius of himself, by perceiving the distinctive mental radiations emitted by such a being. At his peak, Nathan is strong enough to sense a stray thought a continent away', 'Telekinesis': 'Un ability to manipulate matter with the energy of his thoughts. Capable of very fine control over objects, including himself. On larger levels, Cable can levitate great weights, but his upper limit has remained undisclosed. At his peak, Nathan could displace hundreds of tons of matter as he did when lifting and repositioning the sunken space station Greymalkin. He can perform the following power stunts:', '-Intuitive Aptitude': 'Un ability to disassemble complex devices explosively (separating every last component, such as screws, nuts, circuit boards, etc.) and, just as quickly, easily assemble complex devices. ', '-Matter Alteration': ""Un ability to alter molecular and subatomic structures, both in his own techno-organic components (though this may be a function of telekinesis, as opposed to a discreet superhuman power), and the very chemical valences in objects i.e. changing food into poison, moving oxygen molecules to cause asphyxiation, transforming a man into a hideous man-bat or even changing the dermal layer of another's hands into glowing algae."", '-Inorganic Disintegration': 'Am ability to disintegrate objects by dissolving their atomic and molecular bonds.', '-Psionic Spikes': 'Am ability to create destructive psionic spikes that destroy the physical objects that the spikes come into contact with.', '-Telekinetic Healing': 'Mn Regeneration for himself and/or healing others of malignancies or bodily damage at an accelerated rate. ', '-Force Fields': 'Un protection vs. all attacks', '-Concussive Blasts': 'Mn Force', '-Tactile Telekinesis': 'Cable can use his telekinesis to enhance his already impressive physical practices to Un Strength', '-Telekinetic Flight': 'Ex airspeed', 'Techno-Organic Physiology': 'Cable was infected by the techno-organic virus which he keeps under control with his telekinetic abilities. He therefore has', '-Energy Blade': 'Ex Edge, back of left hand', '-Cybernetic Eye': 'Infrared, +1cs Ranged'}","{'Guns': 'In Energy, 10 areas ', 'Bodyslide': 'Mn ability to teleport himself and others over great distances.'}",{},"['Handguns, Marksman, Semi-Automatic, Weapons, All Martial Arts, Military, Detective/Espionage, Leadership']","['X-Force, X-Men, Deadpool, Wolverine']",[''],{},0,0,0,0,0
339,339,Cache,,,,,,In,Gd,Ex,In,In,Ex,Gd,110,70,Ex,,"{'Digitized Body': ""Cache's digitized body gives him the following abilities:"", '-Body Armor': 'Ex protection vs. Physical and Energy', '-Immune to Aging, Disease and Toxins': 'CL1000', '-Self-Sustenance': ""Doesn't need to eat, sleep or breathe"", '-Blinding Light': 'Am Blinding in an entire area', '-Holographic Generators': 'Mn', '-Shape-Shifting': 'Mn ability to alter his appearance', '-Teleportation': 'Un ability to transfer himself over great distances instantly via wireless internet connection', '-Computer Interface': 'Un ability to interface with computers allowing him to perform the following power stunts:', '--Network Command': 'Un ability to command all technology connected to a network in the area he resides in', '--Computer Hacking': 'Un ability to break any firewall and hack simultaneously into countless computers to access needed knowledge', '--Database': ""Most of Cache's knowledge is based on internet data he acquired""}",{},{},"['Computers, All Martial Arts, All Scientific Skills']",['AIM'],[''],{},0,0,0,0,0
351,351,Captain America,Steve Rogers,,,,,Am,Ex,Gd,Gd,Gd,In,Rm,90,80,Rm,,{},"{'Body Armor': 'Gd protection vs. Edge and Shooting, Ty protection vs. Blunt attacks ', 'Shield': 'CL3000 material, he can use it to block up to 90 damage from an attack, but he is still subject to Stuns and Slams. He can also throw it up to 3 areas for Rm damage and he can attack up to 3 people with a successful Agility FEAT (Mn) or 5 with a Yellow FEAT. By bouncing it of a number of hard surfaces, he can make the shield return to him the next round. ', 'Utility Vest': ""This vest was an invention of Fabian Stankowitz's during his time with the Avengers. Captain America briefly donned this utility vest while he was suffering from recurring paralysis resulting from a breakdown of his Super-Soldier Serum. It included the following:"", '-Motion Detector': 'The vest also had a motion detector that could monitor movement with Rm intensity.', '-Force Field': 'The vest had a one-use force field that deployed when Captain America was completely paralyzed; it was intended to protect him until the Avengers arrived. This gives him Mn protection vs. Physical and Energy', '-Capsules': 'Captain America is armed with capsules with non-lethal attacks. The capsules were unmarked, so Captain America often had to grab some and hope for the best. The capsules include:', '--Fog': 'Rm intensity', '--Snare': 'Rm', '--Concussive': 'Rm Force', '--Ice Production': 'Ex', 'Grappling-Hook Gun': 'Holstered in his vest, fires up to 3 areas and attach to up to Rm materials. Contains 200 ft. of line (In strength, can support up to 600 lbs.).'}",{},"['Weapons Specialist: Shield, All Martial Arts, Artist, Leadership, Military']","['The New Avengers, Nick Fury, Falcon, Sharon Carter, S.H.I.E.L.D., Any Former Avenger']","[""Paralysis: During this time, Captain America's Super-Soldier Serum was deterriorating within his body. At any given moment, Captain America may become overwhelmed with paralysis for 1-100 rounds. Cap must make a Red Endurance FEAT vs. paralysis."", '', 'Talents: Weapons Specialist: Shield, All Martial Arts, Artist, Leadership, Military ', '', 'Contacts: The New Avengers, Nick Fury, Falcon, Sharon Carter, S.H.I.E.L.D., Any Former Avenger']",{},0,0,0,0,0
389,389,The Cat,Shen Kuei,,,,,Am,Rm,Ex,Rm,Ex,Ex,Ex,130,60,Gd,,{},{},{},"['All Martial Arts, Oriental Weapons, Detective/Espionage, Thrown Weapons, Marksmanship, Acrobatics, Tumbling, Guns, Business/Finance, Multi-Lingual: (English, Tibetian, Chinese, Japanese)']",[],[''],{},0,0,0,0,0
420,420,Citizen V,John Watkins III,,,,,In,Rm,Ex,In,Gd,Ex,Gd,130,40,Ex,,{},"{'Sword': 'In material, Rm Edge or Ex blunt damage with the flat of the blade. ', 'Costume': 'Ex vs. Edged and Shooting attacks. ', '-Cape': 'His cape is made of the same materials, and has the added bonus of allowing him to glide or parachute to safety. ', '-Stealth Invisiblity': 'Ex invisibility ', 'Visor': 'In scanners for X-Ray, Lifeform, Energy and Range ', '-Gas Mask': 'Avoid gas attacks ', 'Communications': 'This allows him to communicate up to 100 miles away. This system is also able to provide for a satelite link up allowing greater range. Can contact the Vanguard or any member of the V-Battalion. ', 'Other Weapons': '', '-Pistol': 'Gd Shooting, 7 areas', '-Knife': 'In material, Ex Edge ', '-V-Stars': 'Ex Edge, 5 areas ', '-Bola': 'Rm entagglement ', '-Sleep Gas': 'Cover 1 area with In sleep gas. Victim must make Red End. FEAT vs. unconsciousness for 1-10 rounds. ', '-Magclamp': 'In material, Un adhesive to metal. ', '-Tracer': 'Ex material, 3 areas, Able to trace anyone around the world from Vanguard. Satelites allow this tracer to be found anywhere.'}","{'V-Wing': ""Citizen V's personal transportion"", '-Body': 'Rm ', '-Control': 'In ', '-Speed': 'Rm airspeed ', '-Protection': 'N/A'}","['Swordsmanship, All Martial Arts, Acrobatics, Tumbling, Detective/Espionage, Engineering']",['V-Battallion'],[''],{},0,0,0,0,0
517,517,Daredevil II,Daniel Rand,,,,,Am,Rm,Gd,Rm,Ex,Gd,In,120,70,Ty,,"{'Chi': 'F,A,S or E can be raised 1 rank for 10 rounds. Requires 1 round of meditation & psyche FEAT. to use. After its used up health temporary loss of 25 ', 'Iron Fist': 'Once a day, may be used. Must make a psyche FEAT to determine damage. ', '-Green': 'In ', '-Yellow': 'Am ', '-Red': 'Mn, If red FEAT is used, he will be knock-out for 1-10 rounds'}","{'Billy Club': 'In material, Ex Blunt. Has the following power stunts', '-Swing Line': 'Shoots a line that lets him swing at 3 areas/round. ', 'Costume': 'Gd protection vs. Physical attacks'}",{},"['Business/Fiance, Accounting, All Martial Arts, Ninja Trainning, Stealth']","['Luke Cage, Misty Knight']",[''],{},0,0,0,0,0
649,649,Ebon Samurai,Kioshi Keishicho,,,,,Rm,Ex,Ex,In,Gd,Ex,Ex,110,50,Gd,,{},"{'Body Armor': 'Ex protection vs. Physical and Energy ', 'Katana': 'Un Edge, it can also cut through Un materials in a single round'}",{},"['All Martial Arts, Law Enforcement, Oriental Weapons, Swords, Thrown Weapons']",['Big Hero 6'],[''],{},0,0,0,0,0
